"activity"	"subject"	"value"
"1"	"fBodyAcc-mean()-X"	1	-0.531895161258213
"2"	"fBodyAcc-mean()-Y"	1	-0.406435448904438
"3"	"fBodyAcc-mean()-Z"	1	-0.596411165253602
"4"	"fBodyAcc-meanFreq()-X"	1	-0.180558714010749
"5"	"fBodyAcc-meanFreq()-Y"	1	0.0576291646962536
"6"	"fBodyAcc-meanFreq()-Z"	1	0.0583692776609798
"7"	"fBodyAcc-std()-X"	1	-0.553060616663401
"8"	"fBodyAcc-std()-Y"	1	-0.390150939647061
"9"	"fBodyAcc-std()-Z"	1	-0.498583091676081
"10"	"fBodyAccJerk-mean()-X"	1	-0.547348892435764
"11"	"fBodyAccJerk-mean()-Y"	1	-0.507343617969859
"12"	"fBodyAccJerk-mean()-Z"	1	-0.695305113832853
"13"	"fBodyAccJerk-meanFreq()-X"	1	-0.0488005965884726
"14"	"fBodyAccJerk-meanFreq()-Y"	1	-0.21527915818415
"15"	"fBodyAccJerk-meanFreq()-Z"	1	-0.0964496376997118
"16"	"fBodyAccJerk-std()-X"	1	-0.543979776127867
"17"	"fBodyAccJerk-std()-Y"	1	-0.466251676533372
"18"	"fBodyAccJerk-std()-Z"	1	-0.737861932680115
"19"	"fBodyAccMag-mean()"	1	-0.478448523354179
"20"	"fBodyAccMag-meanFreq()"	1	0.142062162506138
"21"	"fBodyAccMag-std()"	1	-0.589710231217867
"22"	"fBodyBodyAccJerkMag-mean()"	1	-0.499075765624092
"23"	"fBodyBodyAccJerkMag-meanFreq()"	1	0.200055179527839
"24"	"fBodyBodyAccJerkMag-std()"	1	-0.541823079570029
"25"	"fBodyBodyGyroJerkMag-mean()"	1	-0.645970655298847
"26"	"fBodyBodyGyroJerkMag-meanFreq()"	1	0.198031580056455
"27"	"fBodyBodyGyroJerkMag-std()"	1	-0.685811262634006
"28"	"fBodyBodyGyroMag-mean()"	1	-0.535002770337752
"29"	"fBodyBodyGyroMag-meanFreq()"	1	0.0649309438160231
"30"	"fBodyBodyGyroMag-std()"	1	-0.566576670397695
"31"	"fBodyGyro-mean()-X"	1	-0.623219182311527
"32"	"fBodyGyro-mean()-Y"	1	-0.505309434070029
"33"	"fBodyGyro-mean()-Z"	1	-0.553529065425648
"34"	"fBodyGyro-meanFreq()-X"	1	-0.0320324102759078
"35"	"fBodyGyro-meanFreq()-Y"	1	-0.0901517235974063
